Roll_No,Mark
Y24170541,28
Y24170552,29
Y24170533,33
Y24170538,36
Y24170558,27
Y24170501,27
Y24170548,27
Y24170531,36
Y24170547,37
Y24170535,30
Y24170536,37
Y24170530,24
Y24170545,32
Y24170502,39
Y24170555,28
Y24170526,37
Y24170514,32
Y24170507,32
Y24170512,30
Y24170523,25
Y24170562,21
Y24170560,33
Y24170559,23
Y24170565,32
Y24170564,33
Y24170566,24
Y24170563,21
Y24170561,27
Y24170567,35
Y24170570,19
Y24170568,26
Y24170569,21
Y24170571,31
Y24170557,36
Y24170524,31
Y24170513,35
Y24170508,26
Y24170532,30
Y24170509,37
Y24170549,27
Y24170529,32
Y24170537,30
Y24170542,35
Y24170517,36
Y24170521,28
Y24170553,16
Y24170554,31
Y24170546,30
Y24170534,29
Y24170505,30
Y24170506,32
Y24170522,32
Y24170551,38
Y24170510,38
Y24170504,21
Y24170544,35
Y24170511,20
Y24170556,35
Y24170516,27
Y24170543,27
Y24170539,36
Y24170515,38
Y24170540,31
Y24170528,35
Y24170550,35
Y24170527,36
