Roll_No,Mark
Y23170501,12
Y23170502,7
Y23170505,14
Y23170507,13
Y23170509,14
Y23170511,13
Y23170512,12
Y23170513,5
Y23170514,14
Y23170515,7
Y23170516,16
Y23170517,13
Y23170520,14
Y23170522,11
Y23170524,7
Y23170525,8
Y23170526,13
Y23170527,14
Y23170528,15
Y23170529,12
Y23170530,13
Y23170531,14
Y23170532,12
Y23170533,12
Y23170535,17
Y23170536,12
Y23170538,11
Y23170539,7
Y23170540,12
Y23170541,13
Y23170543,11
Y23170544,10
Y23170545,11
Y23170546,7
Y23170547,9
Y23170548,3
Y23170549,4
Y23170550,5
Y23170551,10
Y23170552,1
Y23170553,6
Y23170554,12
Y23170555,10
Y23170556,Absent
Y23170557,3
Y23170558,14
Y23170559,3
Y23170560,6
Y23170561,4
Y23170564,8
Y23170565,7
Y23170566,3
Y23170567,3
Y23170568,12
Y23170801,16

