Roll_No,Mark
Y22170801,17
Y22170802,6
Y22170803,18
Y22170804,8
Y22170805,13
Y22170806,18
Y22170807,18
Y22170808,19
Y22170809,10
Y22170810,10
Y22170811,12
Y22170812,7
Y22170813,15
Y22170814,17
Y22170816,13
Y22170818,10
Y22170819,14
Y22170822,7
Y22170823,10
Y22170824,7
Y22170826,16
Y22170828,6
Y22170829,9
Y22170830,19
Y22170831,14
Y22170832,8
Y22170833,12
Y22170834,11
Y22170835,5
Y22170836,6
Y22170837,20
Y22170838,11
Y22170839,12
Y22170840,16
Y22170841,12
Y22170842,5
Y22170843,7
Y22170844,5
Y22170845,10
Y22170846,11
Y22170847,12
Y22170848,19
Y22170851,8
Y22170852,18
Y22170853,14
