Roll_No,Mark
Y24170501,10.5
Y24170502,20
Y24170504,10.5
Y24170505,14
Y24170506,12
Y24170507,12.5
Y24170508,6.5
Y24170509,14
Y24170510,15
Y24170511,1
Y24170512,7
Y24170513,14
Y24170514,11
Y24170515,9.5
Y24170516,9.5
Y24170517,11.5
Y24170521,8.5
Y24170522,7.5
Y24170523,4
Y24170524,8
Y24170525,13.5
Y24170526,15
Y24170527,8.5
Y24170528,16
Y24170529,5
Y24170530,12
Y24170531,15.5
Y24170532,7.5
Y24170533,9
Y24170534,7
Y24170535,5
Y24170536,14
Y24170537,10
Y24170538,10.5
Y24170539,8
Y24170540,5
Y24170541,3
Y24170542,15.5
Y24170543,7
Y24170544,15
Y24170545,19
Y24170546,10
Y24170548,7
Y24170549,4.5
Y24170550,16.5
Y24170551,8
Y24170552,4.5
Y24170553,11
Y24170554,16
Y24170555,5.5
Y24170556,8
Y24170557,12
Y24170558,10
Y24170559,11.5
Y24170560,6
Y24170561,10
Y24170562,5.5
Y24170563,5
Y24170564,4
Y24170565,9
Y24170566,5
Y24170567,9
Y24170568,8.5
Y24170569,1
Y24170570,1
Y24170571,2.5
