Roll_No,Mark
Y24170501,10.5
Y24170502,18
Y24170504,ABSENT
Y24170505,9
Y24170506,11.5
Y24170507,12
Y24170508,ABSENT
Y24170509,12
Y24170510,13.5
Y24170511,4.5
Y24170512,13.5
Y24170513,12.5
Y24170514,10.5
Y24170515,6
Y24170516,10.5
Y24170517,12.5
Y24170521,2
Y24170522,11.5
Y24170523,2
Y24170524,9.5
Y24170525,14
Y24170526,14
Y24170527,16
Y24170528,16.5
Y24170529,11.5
Y24170530,ABSENT
Y24170531,9
Y24170532,9.5
Y24170533,8
Y24170534,7.5
Y24170535,9
Y24170536,15.5
Y24170537,13
Y24170538,10.5
Y24170539,8
Y24170540,10.5
Y24170541,10
Y24170542,16
Y24170543,7
Y24170544,ABSENT
Y24170545,14
Y24170546,6
Y24170548,10
Y24170549,8.5
Y24170550,15
Y24170551,11.5
Y24170552,10
Y24170553,14.5
Y24170554,10
Y24170555,ABSENT
Y24170556,10.5
Y24170557,12.5
Y24170558,11
Y24170559,9.5
Y24170560,9.5
Y24170561,ABSENT
Y24170562,3
Y24170563,ABSENT
Y24170564,10.5
Y24170565,8
Y24170566,8.5
Y24170567,12
Y24170568,9.5
Y24170569,2
Y24170570,5.5
Y24170571,5
