Roll_No,Mark
Y23170501,16
Y23170502,12
Y23170505,19 (Farzi Topper)
Y23170507,15
Y23170509,16
Y23170511,18.5
Y23170512,14
Y23170513,13
Y23170514,12.5
Y23170515,
Y23170516,12.5
Y23170517,15
Y23170520,14.5
Y23170522,10
Y23170524,19 (Farzi Topper)
Y23170525,12.5
Y23170526,15.5
Y23170527,16
Y23170528,18.5
Y23170529,17
Y23170530,14
Y23170531,8.5
Y23170532,13
Y23170533,7
Y23170535,17
Y23170536,13
Y23170538,13.5
Y23170539,5
Y23170540,16.5
Y23170541,14
Y23170543,5
Y23170544,10.5
Y23170545,12
Y23170546,8
Y23170547,9.5
Y23170548,7.5
Y23170549,10.5
Y23170550,3.5
Y23170551,8
Y23170552,5
Y23170553,8.5
Y23170554,13.5
Y23170555,11.5
Y23170556,Tum kyun marks dekh rahe ho?
Y23170557,7
Y23170558,16.5
Y23170559,9
Y23170560,12
Y23170561,12.5
Y23170564,6.5
Y23170565,10
Y23170566,1.5
Y23170567,2.5
Y23170568,10.5
Y23170801,15.5
