Roll_No,Mark
Y25271001,11
Y25271002,14.5
Y25271003,3
Y25271005,11
Y25271006,8.5
Y25271007,9.5
Y25271009,5
Y25271011,5
Y25271012,8
Y25271013,15
Y25271014,8
Y25271015,10
Y25271016,8.5
Y25271017,7.5
Y25271018,6
Y25271019,4.5
Y25271022,4.5
Y25271023,14.5
Y25271024,7
Y25271025,8.5
Y25271026,11.5
Y25271027,7.5
Y25271029,8
Y25271030,4.1
Y25271031,14.5
Y25271032,12
Y25271033,1
Y25271034,6.5
Y25271035,6.5
Y25271036,7
Y25271037,6.2
Y25271038,7.5
Y25271039,12
Y25271040,11
Y25271041,15.5
Y25271042,15.5
Y25271043,11
Y25271044,1
Y25271045,7
Y25271046,8
Y25271048,6.1
Y25271049,7.5
Y25271050,ABSENT
